Timestamp;gLeftWheelTicks;gRightWheelTicks;gTheta_hat;gX_hat;gY_hat
369139000;0;0;2.041150E+000;146;189
369162000;0;0;2.041162E+000;146;189
369186000;0;0;2.041162E+000;146;189
369208000;0;0;2.041155E+000;146;189
369232000;0;0;2.041156E+000;146;189
369257000;0;0;2.041156E+000;146;189
369282000;0;0;2.041143E+000;146;189
369306000;0;0;2.041143E+000;146;189
369330000;0;0;2.041152E+000;146;189
369354000;0;0;2.041145E+000;146;189
369380000;0;0;2.041145E+000;146;189
369403000;0;0;2.041148E+000;146;189
369426000;0;0;2.041148E+000;146;189
369448000;0;0;2.041149E+000;146;189
369472000;0;0;2.041148E+000;146;189
369497000;0;0;2.041148E+000;146;189
369523000;0;0;2.041154E+000;146;189
369546000;0;0;2.041154E+000;146;189
369570000;0;0;2.041160E+000;146;189
369594000;0;0;2.041158E+000;146;189
369617000;0;0;2.041158E+000;146;189
369643000;0;0;2.041167E+000;146;189
369666000;0;0;2.041167E+000;146;189
369691000;0;0;2.041166E+000;146;189
369714000;0;0;2.041183E+000;146;189
369740000;0;0;2.041183E+000;146;189
369765000;0;0;2.041173E+000;146;189
369788000;0;0;2.041173E+000;146;189
369813000;0;0;2.041171E+000;146;189
369836000;0;0;2.041169E+000;146;189
369860000;0;0;2.041169E+000;146;189
369885000;0;0;2.041165E+000;146;189
369909000;0;0;2.041165E+000;146;189
369933000;0;0;2.041174E+000;146;189
369956000;0;0;2.041180E+000;146;189
369980000;0;0;2.041180E+000;146;189
370006000;0;0;2.041183E+000;146;189
370031000;0;0;2.041183E+000;146;189
370055000;0;0;2.041174E+000;146;189
370078000;0;0;2.041177E+000;146;189
370104000;0;0;2.041177E+000;146;189
370128000;0;0;2.041170E+000;146;189
370152000;0;0;2.041170E+000;146;189
370174000;0;0;2.041171E+000;146;189
370198000;0;0;2.041159E+000;146;189
370222000;0;0;2.041159E+000;146;189
370248000;0;0;2.041152E+000;146;189
370271000;0;0;2.041152E+000;146;189
370295000;0;0;2.041155E+000;146;189
370318000;0;0;2.041156E+000;146;189
370345000;0;0;2.041156E+000;146;189
370370000;0;0;2.041133E+000;146;189
370393000;0;0;2.041133E+000;146;189
370415000;0;0;2.041137E+000;146;189
370439000;0;0;2.041140E+000;146;189
370465000;0;0;2.041140E+000;146;189
370490000;0;0;2.041136E+000;146;189
370514000;0;0;2.041136E+000;146;189
370537000;0;0;2.041144E+000;146;189
370561000;0;0;2.041143E+000;146;189
370587000;0;0;2.041143E+000;146;189
370612000;0;0;2.041144E+000;146;189
370636000;0;0;2.041144E+000;146;189
370660000;0;0;2.041142E+000;146;189
370683000;0;0;2.041132E+000;146;189
370707000;0;0;2.041132E+000;146;189
370732000;0;0;2.041136E+000;146;189
370756000;0;0;2.041136E+000;146;189
370778000;0;0;2.041137E+000;146;189
370802000;0;0;2.041138E+000;146;189
370828000;0;0;2.041138E+000;146;189
370853000;0;0;2.041136E+000;146;189
370876000;0;0;2.041136E+000;146;189
370900000;0;0;2.041129E+000;146;189
370923000;0;0;2.041122E+000;146;189
370947000;0;0;2.041122E+000;146;189
370973000;0;0;2.041123E+000;146;189
370997000;0;0;2.041123E+000;146;189
371020000;0;0;2.041126E+000;146;189
371045000;0;0;2.041130E+000;146;189
371069000;0;0;2.041130E+000;146;189
371095000;0;0;2.041136E+000;146;189
371118000;0;0;2.041136E+000;146;189
371140000;0;0;2.041140E+000;146;189
371164000;0;0;2.041135E+000;146;189
371190000;0;0;2.041135E+000;146;189
371214000;0;0;2.041125E+000;146;189
371238000;0;0;2.041125E+000;146;189
371260000;0;0;2.041116E+000;146;189
371284000;0;0;2.041122E+000;146;189
371310000;0;0;2.041122E+000;146;189
371334000;0;0;2.041128E+000;146;189
371356000;0;0;2.041128E+000;146;189
371380000;0;0;2.041129E+000;146;189
371403000;0;0;2.041129E+000;146;189
371427000;0;0;2.041124E+000;146;189
371451000;0;0;2.041133E+000;146;189
371475000;0;0;2.041133E+000;146;189
371498000;0;0;2.041139E+000;146;189
371520000;0;0;2.041139E+000;146;189
371544000;0;0;2.041138E+000;146;189
371567000;0;0;2.041136E+000;146;189
371591000;0;0;2.041136E+000;146;189
371619000;0;0;2.041129E+000;146;189
371642000;0;0;2.041129E+000;146;189
371666000;0;0;2.041119E+000;146;189
371690000;0;0;2.041125E+000;146;189
371716000;0;0;2.041125E+000;146;189
371741000;0;0;2.041137E+000;146;189
371763000;0;0;2.041137E+000;146;189
371785000;0;0;2.041140E+000;146;189
371809000;0;0;2.041133E+000;146;189
371835000;0;0;2.041133E+000;146;189
371860000;0;0;2.041129E+000;146;189
371883000;0;0;2.041129E+000;146;189
371905000;0;0;2.041127E+000;146;189
371929000;0;0;2.041117E+000;146;189
371953000;0;0;2.041117E+000;146;189
371978000;0;0;2.041123E+000;146;189
372000000;0;0;2.041123E+000;146;189
372024000;0;0;2.041119E+000;146;189
372047000;0;0;2.041119E+000;146;189
372075000;0;0;2.041122E+000;146;189
372101000;0;0;2.041118E+000;146;189
372124000;0;0;2.041118E+000;146;189
372148000;0;0;2.041124E+000;146;189
372171000;0;0;2.041125E+000;146;189
372195000;0;0;2.041125E+000;146;189
372221000;0;0;2.041129E+000;146;189
372245000;0;0;2.041129E+000;146;189
372269000;0;0;2.041127E+000;146;189
372292000;0;0;2.041131E+000;146;189
372316000;0;0;2.041131E+000;146;189
372341000;0;0;2.041145E+000;146;189
372364000;0;0;2.041145E+000;146;189
372389000;0;0;2.041148E+000;146;189
372412000;0;0;2.041147E+000;146;189
372436000;0;0;2.041147E+000;146;189
372461000;0;0;2.041129E+000;146;189
372484000;0;0;2.041129E+000;146;189
372507000;0;0;2.041135E+000;146;189
372530000;0;0;2.041135E+000;146;189
372555000;0;0;2.041136E+000;146;189
